1.00000000000000e+001	3.36367314882087e+001
1.00230523807790e+001	3.36368034751622e+001
1.00461579027840e+001	3.36368757738396e+001
1.00693166885180e+001	3.36369483855061e+001
1.00925288607668e+001	3.36370213113950e+001
1.01157945425990e+001	3.36370945527740e+001
1.01391138573668e+001	3.36371681108950e+001
1.01624869287070e+001	3.36372419870312e+001
1.01859138805412e+001	3.36373161824428e+001
1.02093948370768e+001	3.36373906984018e+001
1.02329299228075e+001	3.36374655361893e+001
1.02565192625141e+001	3.36375406970761e+001
1.02801629812647e+001	3.36376161823531e+001
1.03038612044162e+001	3.36376919932953e+001
1.03276140576140e+001	3.36377681312210e+001
1.03514216667934e+001	3.36378445973960e+001
1.03752841581801e+001	3.36379213931424e+001
1.03992016582906e+001	3.36379985197380e+001
1.04231742939330e+001	3.36380759785233e+001
1.04472021922080e+001	3.36381537707880e+001
1.04712854805090e+001	3.36382318978485e+001
1.04954242865232e+001	3.36383103610250e+001
1.05196187382322e+001	3.36383891616525e+001
1.05438689639126e+001	3.36384683010476e+001
1.05681750921366e+001	3.36385477805400e+001
1.05925372517729e+001	3.36386276014707e+001
1.06169555719872e+001	3.36387077651728e+001
1.06414301822431e+001	3.36387882730039e+001
1.06659612123026e+001	3.36388691262850e+001
1.06905487922266e+001	3.36389503264003e+001
1.07151930523761e+001	3.36390318746848e+001
1.07398941234124e+001	3.36391137724933e+001
1.07646521362983e+001	3.36391960212027e+001
1.07894672222983e+001	3.36392786221737e+001
1.08143395129794e+001	3.36393615767790e+001
1.08392691402120e+001	3.36394448863875e+001
1.08642562361706e+001	3.36395285523816e+001
1.08893009333343e+001	3.36396125761460e+001
1.09144033644875e+001	3.36396969590689e+001
1.09395636627209e+001	3.36397817025395e+001
1.09647819614318e+001	3.36398668079484e+001
1.09900583943252e+001	3.36399522767044e+001
1.10153930954141e+001	3.36400381101962e+001
1.10407861990207e+001	3.36401243098417e+001
1.10662378397766e+001	3.36402108770450e+001
1.10917481526240e+001	3.36402978132216e+001
1.11173172728159e+001	3.36403851197877e+001
1.11429453359173e+001	3.36404727981753e+001
1.11686324778056e+001	3.36405608497934e+001
1.11943788346715e+001	3.36406492760803e+001
1.12201845430196e+001	3.36407380784672e+001
1.12460497396692e+001	3.36408272583987e+001
1.12719745617551e+001	3.36409168173152e+001
1.12979591467279e+001	3.36410067566554e+001
1.13240036323555e+001	3.36410970778667e+001
1.13501081567231e+001	3.36411877824157e+001
1.13762728582343e+001	3.36412788717406e+001
1.14024978756117e+001	3.36413703473126e+001
1.14287833478977e+001	3.36414622105907e+001
1.14551294144553e+001	3.36415544630444e+001
1.14815362149688e+001	3.36416471061475e+001
1.15080038894443e+001	3.36417401413795e+001
1.15345325782109e+001	3.36418335702085e+001
1.15611224219210e+001	3.36419273941291e+001
1.15877735615512e+001	3.36420216146133e+001
1.16144861384034e+001	3.36421162331726e+001
1.16412602941049e+001	3.36422112512777e+001
1.16680961706096e+001	3.36423066704424e+001
1.16949939101987e+001	3.36424024921631e+001
1.17219536554813e+001	3.36424987179375e+001
1.17489755493953e+001	3.36425953492867e+001
1.17760597352080e+001	3.36426923877268e+001
1.18032063565173e+001	3.36427898347507e+001
1.18304155572516e+001	3.36428876918952e+001
1.18576874816716e+001	3.36429859606896e+001
1.18850222743701e+001	3.36430846426417e+001
1.19124200802737e+001	3.36431837392957e+001
1.19398810446427e+001	3.36432832521801e+001
1.19674053130724e+001	3.36433831828269e+001
1.19949930314937e+001	3.36434835327920e+001
1.20226443461741e+001	3.36435843036024e+001
1.20503594037179e+001	3.36436854968208e+001
1.20781383510678e+001	3.36437871139916e+001
1.21059813355048e+001	3.36438891566679e+001
1.21338885046497e+001	3.36439916264083e+001
1.21618600064636e+001	3.36440945247736e+001
1.21898959892486e+001	3.36441978533396e+001
1.22179966016487e+001	3.36443016136580e+001
1.22461619926504e+001	3.36444058073098e+001
1.22743923115840e+001	3.36445104358581e+001
1.23026877081238e+001	3.36446155009057e+001
1.23310483322890e+001	3.36447210040075e+001
1.23594743344450e+001	3.36448269467695e+001
1.23879658653036e+001	3.36449333307626e+001
1.24165230759240e+001	3.36450401575864e+001
1.24451461177138e+001	3.36451474288355e+001
1.24738351424294e+001	3.36452551461062e+001
1.25025903021771e+001	3.36453633109924e+001
1.25314117494141e+001	3.36454719251088e+001
1.25602996369487e+001	3.36455809900556e+001
1.25892541179416e+001	3.36456905074421e+001
1.26182753459066e+001	3.36458004788862e+001
1.26473634747114e+001	3.36459109059885e+001
1.26765186585784e+001	3.36460217903982e+001
1.27057410520853e+001	3.36461331337034e+001
1.27350308101665e+001	3.36462449375381e+001
1.27643880881134e+001	3.36463572035472e+001
1.27938130415752e+001	3.36464699333364e+001
1.28233058265601e+001	3.36465831285619e+001
1.28528665994361e+001	3.36466967908460e+001
1.28824955169313e+001	3.36468109218240e+001
1.29121927361353e+001	3.36469255231407e+001
1.29419584144998e+001	3.36470405964450e+001
1.29717927098395e+001	3.36471561433818e+001
1.30016957803328e+001	3.36472721655943e+001
1.30316677845229e+001	3.36473886647413e+001
1.30617088813183e+001	3.36475056424735e+001
1.30918192299940e+001	3.36476231004506e+001
1.31219989901920e+001	3.36477410403314e+001
1.31522483219223e+001	3.36478594637638e+001
1.31825673855640e+001	3.36479783724380e+001
1.32129563418657e+001	3.36480977680076e+001
1.32434153519466e+001	3.36482176521370e+001
1.32739445772973e+001	3.36483380264941e+001
1.33045441797808e+001	3.36484588927699e+001
1.33352143216332e+001	3.36485802526299e+001
1.33659551654643e+001	3.36487021077428e+001
